id,x,y,diameter,orientation_x,orientation_y,orientation_z
152,-18.8289,-18.3887,0.0617,-0.0173,-0.004,0.9998
153,-17.6219,-22.4921,0.0753,0.042,-0.0444,0.9981
154,-16.7353,-23.0231,0.0835,-0.0144,-0.0361,0.9992
155,-2.6356,-21.0535,0.0635,-0.0012,0.0158,0.9999
156,-11.205,-26.2746,0.0736,0.0491,-0.0108,0.9987
157,-10.2959,-26.8156,0.0778,0.0315,-0.0364,0.9988
158,-20.6392,-17.2994,0.0567,0.0099,0.0186,0.9998
159,-19.4664,-21.5147,0.0656,0.0501,-0.0474,0.9976
160,-18.5256,-21.9593,0.0673,0.0289,-0.0405,0.9988
161,-14.9698,-24.0701,0.0797,0.0274,-0.0025,0.9996
162,-13.1641,-25.1161,0.0956,-0.0835,0.0621,0.9946
163,-20.7127,-13.8411,0.0492,0.0171,-0.0224,0.9996
164,-21.3919,-20.2839,0.0552,0.0134,0.0063,0.9999
165,-18.4306,-25.5156,0.0776,0.0288,-0.0075,0.9996
166,-16.6498,-26.5401,0.0746,0.0194,0.0176,0.9997
167,-15.7372,-27.0607,0.0789,-0.0382,0.0174,0.9991
168,-14.827,-27.5969,0.0725,-0.0115,0.0313,0.9994
169,-12.4169,-27.9991,0.1203,0.4353,0.124,0.8917
170,-20.4947,-20.8339,0.0661,-0.0298,-0.0091,0.9995
171,-12.8699,-28.7278,0.0718,-0.003,-0.0113,0.9999
172,-22.2917,-19.7444,0.0571,0.0394,0.0515,0.9979
173,-19.3226,-24.9835,0.0718,0.0185,-0.006,0.9998
174,-13.8035,-28.2771,0.1472,-0.0094,-0.3473,0.9377
175,-11.9545,-29.2462,0.0717,0.0325,-0.0714,0.9969
176,-22.3768,-16.2895,0.0488,0.0159,-0.0221,0.9996
177,-22.1878,-23.3136,0.0619,0.027,0.0166,0.9995
178,-21.148,-23.9642,0.0614,0.0343,-0.0507,0.9981
179,-20.2268,-24.4778,0.0762,0.0797,-0.0532,0.9954
180,-17.4369,-29.5586,0.086,-0.0184,0.0033,0.9998
181,-15.4681,-30.7127,0.0771,-0.0249,-0.1007,0.9946
182,-7.6393,-28.3737,0.0687,-0.0204,-0.0449,0.9988
183,-23.9976,-22.2297,0.0568,-0.0328,0.0131,0.9994
184,-23.0963,-22.787,0.0581,0.0044,-0.0512,0.9987
185,-21.0026,-27.4595,0.0683,0.0527,-0.0349,0.998
